METHOD,URI,NAME,"ACTION                                                                                                                                                "
GET,oauth/authorize,passport.authorizations.authorize,"\Laravel\Passport\Http\Controllers\AuthorizationController@authorize"
POST,oauth/authorize,passport.authorizations.approve,"\Laravel\Passport\Http\Controllers\ApproveAuthorizationController@approve"
DELETE,oauth/authorize,passport.authorizations.deny,"\Laravel\Passport\Http\Controllers\DenyAuthorizationController@deny"
POST,oauth/token,passport.token,"\Laravel\Passport\Http\Controllers\AccessTokenController@issueToken"
GET,oauth/tokens,passport.tokens.index,"\Laravel\Passport\Http\Controllers\AuthorizedAccessTokenController@forUser"
DELETE,oauth/tokens/{token_id},passport.tokens.destroy,"\Laravel\Passport\Http\Controllers\AuthorizedAccessTokenController@destroy"
POST,oauth/token/refresh,passport.token.refresh,"\Laravel\Passport\Http\Controllers\TransientTokenController@refresh"
GET,oauth/clients,passport.clients.index,"\Laravel\Passport\Http\Controllers\ClientController@forUser"
POST,oauth/clients,passport.clients.store,"\Laravel\Passport\Http\Controllers\ClientController@store"
PUT,oauth/clients/{client_id},passport.clients.update,"\Laravel\Passport\Http\Controllers\ClientController@update"
DELETE,oauth/clients/{client_id},passport.clients.destroy,"\Laravel\Passport\Http\Controllers\ClientController@destroy"
GET,oauth/scopes,passport.scopes.index,"\Laravel\Passport\Http\Controllers\ScopeController@all"
GET,oauth/personal-access-tokens,passport.personal.tokens.index,"\Laravel\Passport\Http\Controllers\PersonalAccessTokenController@forUser"
POST,oauth/personal-access-tokens,passport.personal.tokens.store,"\Laravel\Passport\Http\Controllers\PersonalAccessTokenController@store"
DELETE,oauth/personal-access-tokens/{token_id},passport.personal.tokens.destroy,"\Laravel\Passport\Http\Controllers\PersonalAccessTokenController@destroy"
POST,api/login,,"App\Http\Controllers\API\UserController@login"
POST,api/register,,"App\Http\Controllers\API\UserController@register"
POST,api/details,,"App\Http\Controllers\API\UserController@details"
GET,api/messages,messages.index,"App\Http\Controllers\MessageController@index"
POST,api/messages,messages.store,"App\Http\Controllers\MessageController@store"
GET,api/messages/{message},messages.show,"App\Http\Controllers\MessageController@show"
PUT,api/messages/{message},messages.update,"App\Http\Controllers\MessageController@update"
DELETE,api/messages/{message},messages.destroy,"App\Http\Controllers\MessageController@destroy"
GET,api/author/{author}/messages,,"App\Http\Controllers\MessageController@authorMessages"
GET,api/speaker/{speaker}/messages,,"App\Http\Controllers\MessageController@speakerMessages"
GET,api/series/{series}/messages,,"App\Http\Controllers\MessageController@serieMessages"
GET,api/messages/series/{series},,"App\Http\Controllers\MessageController@serieMessages"
GET,api/songs,songs.index,"App\Http\Controllers\SongController@index"
POST,api/songs,songs.store,"App\Http\Controllers\SongController@store"
GET,api/songs/{song},songs.show,"App\Http\Controllers\SongController@show"
PUT,api/songs/{song},songs.update,"App\Http\Controllers\SongController@update"
DELETE,api/songs/{song},songs.destroy,"App\Http\Controllers\SongController@destroy"
GET,api/articles/published,,"App\Http\Controllers\ArticleController@listPublished"
GET,api/articles/drafts,,"App\Http\Controllers\ArticleController@listDrafts"
GET,api/articles,articles.index,"App\Http\Controllers\ArticleController@index"
POST,api/articles,articles.store,"App\Http\Controllers\ArticleController@store"
GET,api/articles/{article},articles.show,"App\Http\Controllers\ArticleController@show"
PUT,api/articles/{article},articles.update,"App\Http\Controllers\ArticleController@update"
DELETE,api/articles/{article},articles.destroy,"App\Http\Controllers\ArticleController@destroy"
GET,api/author/{author}/articles,,"App\Http\Controllers\ArticleController@authorArticles"
GET,api/series/{series}/articles,,"App\Http\Controllers\ArticleController@serieArticles"
GET,api/articles/series/{series},,"App\Http\Controllers\ArticleController@serieArticles"
GET,api/pages,pages.index,"App\Http\Controllers\PageController@index"
POST,api/pages,pages.store,"App\Http\Controllers\PageController@store"
GET,api/pages/{page},pages.show,"App\Http\Controllers\PageController@show"
PUT,api/pages/{page},pages.update,"App\Http\Controllers\PageController@update"
DELETE,api/pages/{page},pages.destroy,"App\Http\Controllers\PageController@destroy"
GET,api/users,users.index,"App\Http\Controllers\UserController@index"
POST,api/users,users.store,"App\Http\Controllers\UserController@store"
GET,api/users/{user},users.show,"App\Http\Controllers\UserController@show"
PUT,api/users/{user},users.update,"App\Http\Controllers\UserController@update"
DELETE,api/users/{user},users.destroy,"App\Http\Controllers\UserController@destroy"
POST,api/users/{user}/change-password,change_password,"App\Http\Controllers\UserController@changePassword"
GET,api/series,series.index,"App\Http\Controllers\SeriesController@index"
POST,api/series,series.store,"App\Http\Controllers\SeriesController@store"
GET,api/series/{series},series.show,"App\Http\Controllers\SeriesController@show"
PUT,api/series/{series},series.update,"App\Http\Controllers\SeriesController@update"
DELETE,api/series/{series},series.destroy,"App\Http\Controllers\SeriesController@destroy"
GET,migrate,,Closure
GET,migrate/fresh,,Closure
GET,clear/all,,Closure
GET,clear/cache,,Closure
GET,reset/storage,,Closure
GET,r,,Closure
GET,logout,,"App\Http\Controllers\Auth\LoginController@logout"
GET,/,,Closure
GET,login,login,"App\Http\Controllers\Auth\LoginController@showLoginForm"
POST,login,,"App\Http\Controllers\Auth\LoginController@login"
POST,logout,logout,"App\Http\Controllers\Auth\LoginController@logout"
GET,register,register,"App\Http\Controllers\Auth\RegisterController@showRegistrationForm"
POST,register,,"App\Http\Controllers\Auth\RegisterController@register"
GET,password/reset,password.request,"App\Http\Controllers\Auth\ForgotPasswordController@showLinkRequestForm"
POST,password/email,password.email,"App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail"
GET,password/reset/{token},password.reset,"App\Http\Controllers\Auth\ResetPasswordController@showResetForm"
POST,password/reset,password.update,"App\Http\Controllers\Auth\ResetPasswordController@reset"
GET,email/verify,verification.notice,"App\Http\Controllers\Auth\VerificationController@show"
GET,email/verify/{id},verification.verify,"App\Http\Controllers\Auth\VerificationController@verify"
GET,email/resend,verification.resend,"App\Http\Controllers\Auth\VerificationController@resend"
GET,dashboard,dashboard,"App\Http\Controllers\DashboardController@index"
GET,messages,messages.index,"App\Http\Controllers\MessageController@index"
GET,messages/create,messages.create,"App\Http\Controllers\MessageController@create"
POST,messages,messages.store,"App\Http\Controllers\MessageController@store"
GET,messages/{message},messages.show,"App\Http\Controllers\MessageController@show"
GET,messages/{message}/edit,messages.edit,"App\Http\Controllers\MessageController@edit"
PUT,messages/{message},messages.update,"App\Http\Controllers\MessageController@update"
DELETE,messages/{message},messages.destroy,"App\Http\Controllers\MessageController@destroy"
GET,author/{author}/messages,,"App\Http\Controllers\MessageController@authorMessages"
GET,speaker/{speaker}/messages,,"App\Http\Controllers\MessageController@speakerMessages"
GET,series/{series}/messages,,"App\Http\Controllers\MessageController@serieMessages"
GET,messages/series/{series},,"App\Http\Controllers\MessageController@serieMessages"
GET,articles/published,,"App\Http\Controllers\ArticleController@listPublished"
GET,articles/drafts,,"App\Http\Controllers\ArticleController@listDrafts"
GET,articles,articles.index,"App\Http\Controllers\ArticleController@index"
GET,articles/create,articles.create,"App\Http\Controllers\ArticleController@create"
POST,articles,articles.store,"App\Http\Controllers\ArticleController@store"
GET,articles/{article},articles.show,"App\Http\Controllers\ArticleController@show"
GET,articles/{article}/edit,articles.edit,"App\Http\Controllers\ArticleController@edit"
PUT,articles/{article},articles.update,"App\Http\Controllers\ArticleController@update"
DELETE,articles/{article},articles.destroy,"App\Http\Controllers\ArticleController@destroy"
GET,author/{author}/articles,,"App\Http\Controllers\ArticleController@authorArticles"
GET,series/{series}/articles,,"App\Http\Controllers\ArticleController@serieArticles"
GET,articles/series/{series},,"App\Http\Controllers\ArticleController@serieArticles"
GET,songs,songs.index,"App\Http\Controllers\SongController@index"
GET,songs/create,songs.create,"App\Http\Controllers\SongController@create"
POST,songs,songs.store,"App\Http\Controllers\SongController@store"
GET,songs/{song},songs.show,"App\Http\Controllers\SongController@show"
GET,songs/{song}/edit,songs.edit,"App\Http\Controllers\SongController@edit"
PUT,songs/{song},songs.update,"App\Http\Controllers\SongController@update"
DELETE,songs/{song},songs.destroy,"App\Http\Controllers\SongController@destroy"
GET,pages,pages.index,"App\Http\Controllers\PageController@index"
GET,pages/create,pages.create,"App\Http\Controllers\PageController@create"
POST,pages,pages.store,"App\Http\Controllers\PageController@store"
GET,pages/{page},pages.show,"App\Http\Controllers\PageController@show"
GET,pages/{page}/edit,pages.edit,"App\Http\Controllers\PageController@edit"
PUT,pages/{page},pages.update,"App\Http\Controllers\PageController@update"
DELETE,pages/{page},pages.destroy,"App\Http\Controllers\PageController@destroy"
GET,users,users.index,"App\Http\Controllers\UserController@index"
GET,users/create,users.create,"App\Http\Controllers\UserController@create"
POST,users,users.store,"App\Http\Controllers\UserController@store"
GET,users/{user},users.show,"App\Http\Controllers\UserController@show"
GET,users/{user}/edit,users.edit,"App\Http\Controllers\UserController@edit"
PUT,users/{user},users.update,"App\Http\Controllers\UserController@update"
DELETE,users/{user},users.destroy,"App\Http\Controllers\UserController@destroy"
POST,user/{user}/change-password,change_password,"App\Http\Controllers\UserController@changePassword"
GET,series,series.index,"App\Http\Controllers\SeriesController@index"
GET,series/create,series.create,"App\Http\Controllers\SeriesController@create"
POST,series,series.store,"App\Http\Controllers\SeriesController@store"
GET,series/{series},series.show,"App\Http\Controllers\SeriesController@show"
GET,series/{series}/edit,series.edit,"App\Http\Controllers\SeriesController@edit"
PUT,series/{series},series.update,"App\Http\Controllers\SeriesController@update"
DELETE,series/{series},series.destroy,"App\Http\Controllers\SeriesController@destroy"
